"","city","starbucks_count","peets_count","median_age","median_household_income","X2010_population","p_white","land_area"
"La Mirada","La Mirada",3,0,37.9,81913,48527,61,7.84
"La Palma","La Palma",0,0,NA,NA,NA,NA,NA
"La Puente","La Puente",0,0,NA,NA,NA,NA,NA
"La Quinta","La Quinta",4,0,45.6,77790,37467,79,35.12
"La Verne","La Verne",4,0,42.9,77088,31063,74,8.43
"Lafayette","Lafayette",3,1,45.2,134871,23893,85,15.22
"Laguna Beach","Laguna Beach",4,0,48.3,99190,22723,91,8.85
"Laguna Hills","Laguna Hills",3,0,40.8,85971,30344,73,6.67
"Laguna Niguel","Laguna Niguel",6,1,42.8,100480,62979,80,14.83
"Laguna Woods","Laguna Woods",1,0,77,35393,16192,87,3.12
"Lake Elsinore","Lake Elsinore",5,0,29.8,63771,51821,60,36.21
"Lake Forest","Lake Forest",6,1,37.2,94632,77264,70,17.82
"Lakeport","Lakeport",1,0,44.2,45302,4753,83,3.06
"Lakewood","Lakewood",6,0,37.5,78360,80048,56,9.41
"Lancaster","Lancaster",5,0,30.4,52290,156633,50,94.28
"Larkspur","Larkspur",2,0,48.5,86046,11926,86,3.03
"Lathrop","Lathrop",2,0,30.5,64732,18023,41,21.93
"Lawndale","Lawndale",1,0,31.9,48813,32769,44,1.97
"Lemon Grove","Lemon Grove",2,0,35,50353,25320,52,3.88
"Lemoore","Lemoore",1,0,28.6,58706,24531,57,8.52
"Lincoln","Lincoln",4,1,40.5,75071,42819,80,20.11
"Lindsay","Lindsay",1,0,24.6,29750,11768,55,2.61
"Live Oak","Live Oak",0,0,NA,NA,NA,NA,NA
"Livermore","Livermore",11,1,38.3,96322,80968,75,25.17
"Livingston","Livingston",1,0,27.4,45313,13058,40,3.72
"Lodi","Lodi",6,0,34.3,49318,62134,69,13.61
"Loma Linda","Loma Linda",2,0,33.2,61116,23261,48,7.52
"Lomita","Lomita",1,0,39.6,61327,20256,59,1.91
"Lompoc","Lompoc",2,0,33.9,47592,42434,61,11.6
"Long Beach","Long Beach",26,1,33.2,52945,462257,46,50.29
"Loomis","Loomis",1,0,42.1,86990,6430,89,7.27
"Los Alamitos","Los Alamitos",1,0,38.7,79861,11449,71,4.05
"Los Altos","Los Altos",3,2,46.2,151856,28976,71,6.49
"Los Altos Hills","Los Altos Hills",0,0,NA,NA,NA,NA,NA
"Los Angeles","Los Angeles",221,5,34.1,50028,3792621,50,468.67
"Los Banos","Los Banos",3,0,29.8,51478,35972,58,9.99
"Los Gatos","Los Gatos",5,1,45,122875,29413,82,11.08
"Loyalton","Loyalton",0,0,NA,NA,NA,NA,NA
"Lynwood","Lynwood",2,0,27.8,43782,69772,39,4.84
"Madera","Madera",2,1,26.6,41991,61416,50,15.79
"Malibu","Malibu",4,0,47.8,132926,12645,91,19.78
"Mammoth Lakes","Mammoth Lakes",2,0,32.6,56521,8234,81,24.87
"Manhattan Beach","Manhattan Beach",3,1,40.9,132752,35135,84,3.94
"Manteca","Manteca",5,0,33.6,60963,67096,62,17.73
"Maricopa","Maricopa",0,0,NA,NA,NA,NA,NA
"Marina","Marina",2,1,34,51817,19718,45,8.88
"Martinez","Martinez",5,0,42.2,79705,35824,77,12.13
"Marysville","Marysville",1,0,32.5,37836,12072,71,3.46
"Maywood","Maywood",0,0,NA,NA,NA,NA,NA
"McFarland","McFarland",0,0,NA,NA,NA,NA,NA
"Mendota","Mendota",0,0,NA,NA,NA,NA,NA
"Menifee","Menifee",2,0,38.1,54068,77519,72,46.47
"Menlo Park","Menlo Park",6,2,38.7,111244,32026,70,9.79
"Merced","Merced",4,0,28.1,37025,78958,52,23.32
"Mill Valley","Mill Valley",4,1,46.6,109759,13903,89,4.76
"Millbrae","Millbrae",2,1,44.8,83992,21532,47,3.25
"Milpitas","Milpitas",10,1,36.1,94589,66790,21,13.59
"Mission Viejo","Mission Viejo",10,0,42.2,96420,93305,80,17.74
"Modesto","Modesto",16,0,34.2,49852,201165,65,36.87
"Monrovia","Monrovia",3,0,37.9,68071,36590,60,13.6
"Montague","Montague",0,0,NA,NA,NA,NA,NA
"Montclair","Montclair",2,1,30.7,50959,36664,53,5.52
"Monte Sereno","Monte Sereno",0,0,NA,NA,NA,NA,NA
"Montebello","Montebello",3,0,34.7,52496,62500,54,8.33
"Monterey","Monterey",4,1,36.9,62720,27810,78,8.47
"Monterey Park","Monterey Park",1,0,43.1,51736,60269,19,7.67
"Moorpark","Moorpark",3,1,34.7,103009,34421,75,12.58
"Moraga","Moraga",2,1,45,121875,16016,76,9.43
"Moreno Valley","Moreno Valley",6,0,28.6,56768,193365,42,51.27
"Morgan Hill","Morgan Hill",7,1,36.8,94301,37882,65,12.88
"Morro Bay","Morro Bay",1,0,48.9,52582,10234,87,5.3
"Mount Shasta","Mount Shasta",0,0,NA,NA,NA,NA,NA
"Mountain View","Mountain View",10,2,35.9,91446,74066,56,12
"Murrieta","Murrieta",9,0,33.4,80792,103466,70,33.58
"Napa","Napa",9,1,37.4,62642,76915,75,17.84
"National City","National City",5,0,30.2,36907,58582,42,7.28
"Needles","Needles",0,0,NA,NA,NA,NA,NA
"Nevada City","Nevada City",0,0,NA,NA,NA,NA,NA
"Newark","Newark",5,0,35.4,81777,42573,41,13.87
"Newman","Newman",0,0,NA,NA,NA,NA,NA
"Newport Beach","Newport Beach",17,1,44,108946,85186,87,23.8
"Norco","Norco",3,0,39.5,84812,27063,76,13.96
"Norwalk","Norwalk",6,0,32.5,60090,105549,49,9.71
"Novato","Novato",6,2,42.6,78628,51904,76,27.44
"Oakdale","Oakdale",2,0,34.9,61183,20675,80,6.04
"Oakland","Oakland",17,6,36.2,51144,390724,35,55.79
"Oakley","Oakley",1,0,32,78102,35432,64,15.85
"Oceanside","Oceanside",10,0,35.2,63394,167086,65,41.23
"Ojai","Ojai",1,0,47.1,63750,7461,88,4.39
"Ontario","Ontario",10,0,29.9,55902,163924,51,49.94
"Orange","Orange",13,0,34.8,78654,136416,67,24.8
"Orange Cove","Orange Cove",0,0,NA,NA,NA,NA,NA
"Orinda","Orinda",2,1,47.8,157500,17643,82,12.68
"Orland","Orland",0,0,NA,NA,NA,NA,NA
"Oroville","Oroville",0,0,NA,NA,NA,NA,NA
"Oxnard","Oxnard",9,0,29.9,60191,197899,48,26.89
"Pacific Grove","Pacific Grove",1,0,48.1,70211,15041,85,2.86
"Pacifica","Pacifica",4,0,41.5,93436,37234,65,12.66
"Palm Desert","Palm Desert",10,0,53,53940,48445,82,26.81
